 valeurs;temps;profondeur;acces; noeuds ajoutés;feuille;taille;eclatements 
999998; 0.160; 3;  16120; 252;  15872; 16124; 16120;
 1999996; 0.320; 3;  32245; 504;  31745; 32249; 32245;
 2999994; 0.490; 3;  48370; 756;  47618; 48374; 48370;
 3999992; 0.650; 3;  64495; 1008;  63491; 64499; 64495;
 4999990; 0.821; 3;  80620; 1260;  79364; 80624; 80620;
 5999988; 0.981; 3;  96745; 1512;  95237; 96749; 96745;
 6999986; 1.161; 3;  112870; 1764;  111110; 112874; 112870;
 7999984; 1.321; 3;  128995; 2016;  126983; 128999; 128995;
 8999982; 1.481; 3;  145119; 2267;  142856; 145123; 145119;
 9999980; 1.661; 3;  161244; 2519;  158729; 161248; 161244;
 10999978; 1.833; 3;  177369; 2771;  174602; 177373; 177369;
 11999976; 1.991; 3;  193494; 3023;  190475; 193498; 193494;
 12999974; 2.161; 3;  209619; 3275;  206348; 209623; 209619;
 13999972; 2.321; 3;  225744; 3527;  222221; 225748; 225744;
 14999970; 2.491; 3;  241869; 3779;  238094; 241873; 241869;
 15999968; 2.661; 3;  257994; 4031;  253967; 257998; 257994;
 16999966; 2.821; 3;  274118; 4282;  269840; 274122; 274118;
 17999964; 2.991; 3;  290243; 4534;  285713; 290247; 290243;
 18999962; 3.151; 3;  306368; 4786;  301586; 306372; 306368;
 19999960; 3.331; 3;  322493; 5038;  317459; 322497; 322493;
 20999958; 3.492; 3;  338618; 5290;  333332; 338622; 338618;
 21999956; 3.651; 3;  354743; 5542;  349205; 354747; 354743;
 22999954; 3.822; 3;  370868; 5794;  365078; 370872; 370868;
 23999952; 3.991; 3;  386993; 6046;  380951; 386997; 386993;
 24999950; 4.162; 3;  403117; 6297;  396824; 403121; 403117;
 25999948; 4.322; 3;  419242; 6549;  412697; 419246; 419242;
 26999946; 4.492; 3;  435367; 6801;  428570; 435371; 435367;
 27999944; 4.652; 3;  451492; 7053;  444443; 451496; 451492;
 28999942; 4.821; 3;  467617; 7305;  460316; 467621; 467617;
 29999940; 4.982; 3;  483742; 7557;  476189; 483746; 483742;
 30999938; 5.152; 3;  499867; 7809;  492062; 499871; 499867;
 31999936; 5.322; 3;  515992; 8061;  507935; 515996; 515992;
 32999934; 5.492; 3;  532116; 8312;  523808; 532120; 532116;
 33999932; 5.743; 4;  548242; 8566;  539681; 548247; 548242;
 34999930; 5.903; 4;  564367; 8818;  555554; 564372; 564367;
 35999928; 6.073; 4;  580492; 9070;  571427; 580497; 580492;
 36999926; 6.243; 4;  596617; 9322;  587300; 596622; 596617;
 37999924; 6.413; 4;  612742; 9574;  603173; 612747; 612742;
 38999922; 6.583; 4;  628867; 9826;  619046; 628872; 628867;
 39999920; 6.753; 4;  644992; 10078;  634919; 644997; 644992;
 40999918; 6.913; 4;  661116; 10329;  650792; 661121; 661116;
 41999916; 7.083; 4;  677241; 10581;  666665; 677246; 677241;
 42999914; 7.253; 4;  693366; 10833;  682538; 693371; 693366;
 43999912; 7.413; 4;  709491; 11085;  698411; 709496; 709491;
 44999910; 7.583; 4;  725616; 11337;  714284; 725621; 725616;
 45999908; 7.753; 4;  741741; 11589;  730157; 741746; 741741;
 46999906; 7.923; 4;  757866; 11841;  746030; 757871; 757866;
 47999904; 8.093; 4;  773991; 12093;  761903; 773996; 773991;
 48999902; 8.263; 4;  790115; 12344;  777776; 790120; 790115;
 49999900; 8.453; 4;  806241; 12597;  793649; 806246; 806241;
 50999898; 8.623; 4;  822366; 12849;  809522; 822371; 822366;
 51999896; 8.783; 4;  838491; 13101;  825395; 838496; 838491;
 52999894; 8.953; 4;  854616; 13353;  841268; 854621; 854616;
