 valeurs	temps	prof	accee	 noeud ajouter	feuille	taille	eclatements 
999998	"11.857"	3	4507940	253	15871	16124	16120
1999996	"24.603"	3	9540180	505	31744	32249	32245
2999994	"37.394"	3	14572420	757	47617	48374	48370
3999992	"50.124"	3	19604660	1009	63490	64499	64495
4999990	"63.262"	3	24636900	1261	79363	80624	80620
5999988	"76.379"	3	29669140	1513	95236	96749	96745
6999986	"89.483"	3	34701380	1765	111109	112874	112870
7999984	"102.299"	3	39733620	2017	126982	128999	128995
8999982	"115.363"	3	44765858	2268	142855	145123	145119
9999980	"128.376"	3	49798098	2520	158728	161248	161244
10999978	"141.345"	3	54830338	2772	174601	177373	177369
11999976	"154.481"	3	59862578	3024	190474	193498	193494
12999974	"167.453"	3	64894818	3276	206347	209623	209619
13999972	"180.460"	3	69927058	3528	222220	225748	225744
14999970	"193.276"	3	74959298	3780	238093	241873	241869
15999968	"206.091"	3	79991538	4032	253966	257998	257994
16999966	"219.867"	3	85023776	4283	269839	274122	274118
17999964	"232.856"	3	90056016	4535	285712	290247	290243
18999962	"245.673"	3	95088256	4787	301585	306372	306368
19999960	"258.447"	3	100120496	5039	317458	322497	322493
20999958	"271.846"	3	105152736	5291	333331	338622	338618
21999956	"284.863"	3	110184976	5543	349204	354747	354743
22999954	"297.678"	3	115217216	5795	365077	370872	370868
23999952	"310.446"	3	120249456	6047	380950	386997	386993
24999950	"323.333"	3	125281694	6298	396823	403121	403117
25999948	"336.410"	3	130313934	6550	412696	419246	419242
26999946	"349.269"	3	135346174	6802	428569	435371	435367
27999944	"361.976"	3	140378414	7054	444442	451496	451492
28999942	"374.752"	3	145410654	7306	460315	467621	467617
29999940	"387.743"	3	150442894	7558	476188	483746	483742
30999938	"400.518"	3	155475134	7810	492061	499871	499867
31999936	"413.479"	3	160507374	8062	507934	515996	515992
32999934	"426.897"	3	165539612	8313	523807	532120	532116
33999932	"442.536"	4	171541641	8567	539680	548247	548242
34999930	"457.497"	4	177573879	8819	555553	564372	564367
35999928	"472.479"	4	183606117	9071	571426	580497	580492
36999926	"487.664"	4	189638355	9323	587299	596622	596617
37999924	"502.971"	4	195670593	9575	603172	612747	612742
38999922	"517.918"	4	201702831	9827	619045	628872	628867
39999920	"532.875"	4	207735069	10079	634918	644997	644992
40999918	"548.145"	4	213767305	10330	650791	661121	661116
41999916	"563.479"	4	219799543	10582	666664	677246	677241
42999914	"578.484"	4	225831781	10834	682537	693371	693366
43999912	"593.432"	4	231864019	11086	698410	709496	709491
44999910	"608.539"	4	237896257	11338	714283	725621	725616
45999908	"623.969"	4	243928495	11590	730156	741746	741741
46999906	"639.031"	4	249960733	11842	746029	757871	757866
47999904	"654.028"	4	255992971	12094	761902	773996	773991
48999902	"669.617"	4	262025207	12345	777775	790120	790115
49999900	"685.379"	4	268057447	12598	793648	806246	806241
50999898	"701.054"	4	274089685	12850	809521	822371	822366
51999896	"716.703"	4	280121923	13102	825394	838496	838491
52999894	"732.400"	4	286154161	13354	841267	854621	854616
53999892	"748.262"	4	292186399	13606	857140	870746	870741
54999890	"763.851"	4	298218637	13858	873013	886871	886866
55999888	"780.190"	4	304250875	14110	888886	902996	902991
56999886	"796.299"	4	310283111	14361	904759	919120	919115
57999884	"812.650"	4	316315349	14613	920632	935245	935240
58999882	"828.828"	4	322347587	14865	936505	951370	951365
59999880	"845.018"	4	328379825	15117	952378	967495	967490
60999878	"861.398"	4	334412063	15369	968251	983620	983615
61999876	"877.898"	4	340444301	15621	984124	999745	999740
62999874	"894.168"	4	346476537	15873	999996	1015869	1015864
63999872	"910.385"	4	352508775	16125	1015869	1031994	1031989
64999870	"926.455"	4	358541011	16376	1031742	1048118	1048113
65999868	"943.426"	4	364573251	16629	1047615	1064244	1064239
66999866	"959.247"	4	370605491	16882	1063488	1080370	1080365
67999864	"974.718"	4	376637729	17134	1079361	1096495	1096490
68999862	"990.427"	4	382669967	17386	1095234	1112620	1112615
69999860	"1.006.466"	4	388702205	17638	1111107	1128745	1128740
70999858	"1.022.168"	4	394734443	17890	1126980	1144870	1144865
71999856	"1.037.619"	4	400766681	18142	1142853	1160995	1160990
72999854	"1.053.147"	4	406798917	18393	1158726	1177119	1177114
73999852	"1.069.034"	4	412831155	18645	1174599	1193244	1193239
74999850	"1.084.802"	4	418863393	18897	1190472	1209369	1209364
75999848	"1.100.410"	4	424895631	19149	1206345	1225494	1225489
76999846	"1.116.010"	4	430927869	19401	1222218	1241619	1241614
77999844	"1.131.766"	4	436960107	19653	1238091	1257744	1257739
78999842	"1.147.683"	4	442992345	19905	1253964	1273869	1273864
79999840	"1.163.234"	4	449024583	20157	1269837	1289994	1289989
80999838	"1.178.811"	4	455056819	20408	1285710	1306118	1306113
81999836	"1.195.401"	4	461089057	20660	1301583	1322243	1322238
82999834	"1.211.160"	4	467121297	20913	1317456	1338369	1338364
83999832	"1.226.998"	4	473153535	21165	1333329	1354494	1354489
84999830	"1.242.607"	4	479185773	21417	1349202	1370619	1370614
85999828	"1.258.279"	4	485218011	21669	1365075	1386744	1386739
86999826	"1.274.172"	4	491250249	21921	1380948	1402869	1402864
87999824	"1.289.762"	4	497282487	22173	1396821	1418994	1418989
88999822	"1.305.451"	4	503314723	22424	1412694	1435118	1435113
89999820	"1.321.227"	4	509346961	22676	1428567	1451243	1451238
90999818	"1.337.171"	4	515379199	22928	1444440	1467368	1467363
91999816	"1.352.709"	4	521411437	23180	1460313	1483493	1483488
92999814	"1.368.040"	4	527443675	23432	1476186	1499618	1499613
93999812	"1.383.407"	4	533475913	23684	1492059	1515743	1515738
94999810	"1.399.198"	4	539508151	23936	1507932	1531868	1531863
95999808	"1.414.505"	4	545540389	24188	1523805	1547993	1547988
96999806	"1.429.913"	4	551572625	24439	1539678	1564117	1564112
97999804	"1.445.733"	4	557604863	24691	1555551	1580242	1580237
98999802	"1.461.246"	4	563637101	24943	1571424	1596367	1596362
99999800	"1.476.616"	4	569669341	25196	1587297	1612493	1612488
